timestamp,BNSOL/USDT_2025_1H,SOL/USDT_2025_1H
2025-01-18 09:00:00,244.2,238.16
2025-01-18 10:00:00,249.3,243.17
2025-01-18 11:00:00,244.9,238.95
2025-01-18 12:00:00,249.5,243.4
2025-01-18 13:00:00,246.4,240.27
2025-01-18 14:00:00,249.0,242.85
2025-01-18 15:00:00,264.4,257.75
2025-01-18 16:00:00,248.9,242.65
2025-01-18 17:00:00,258.9,252.1
2025-01-18 18:00:00,261.1,254.52
2025-01-18 19:00:00,262.0,255.35
2025-01-18 20:00:00,254.8,248.44
2025-01-18 21:00:00,259.0,252.59
2025-01-18 22:00:00,260.9,254.43
2025-01-18 23:00:00,268.7,261.97
2025-01-19 00:00:00,263.0,256.6
2025-01-19 01:00:00,262.1,255.56
2025-01-19 02:00:00,261.0,254.37
2025-01-19 03:00:00,262.2,255.6
2025-01-19 04:00:00,280.7,273.69
2025-01-19 05:00:00,273.0,266.38
2025-01-19 06:00:00,281.6,274.68
2025-01-19 07:00:00,278.7,271.53
2025-01-19 08:00:00,281.6,274.5
2025-01-19 09:00:00,281.0,274.0
2025-01-19 10:00:00,291.1,284.44
2025-01-19 11:00:00,292.6,286.24
2025-01-19 12:00:00,283.9,277.34
2025-01-19 13:00:00,290.0,282.82
2025-01-19 14:00:00,276.9,270.62
2025-01-19 15:00:00,277.6,270.58
2025-01-19 16:00:00,275.5,268.93
2025-01-19 17:00:00,278.1,271.36
2025-01-19 18:00:00,279.5,272.21
2025-01-19 19:00:00,276.5,269.5
2025-01-19 20:00:00,284.5,277.65
2025-01-19 21:00:00,261.6,255.2
2025-01-19 22:00:00,259.1,252.93
2025-01-19 23:00:00,258.6,252.42
2025-01-20 00:00:00,241.6,236.06
2025-01-20 01:00:00,247.9,241.95
2025-01-20 02:00:00,237.8,232.04
2025-01-20 03:00:00,247.2,241.38
2025-01-20 04:00:00,249.7,243.67
2025-01-20 05:00:00,250.7,244.77
2025-01-20 06:00:00,264.0,257.84
2025-01-20 07:00:00,268.4,261.9
2025-01-20 08:00:00,276.2,269.49
2025-01-20 09:00:00,269.4,262.79
2025-01-20 10:00:00,265.9,259.27
2025-01-20 11:00:00,267.1,260.6
2025-01-20 12:00:00,259.7,253.35
2025-01-20 13:00:00,262.9,256.21
2025-01-20 14:00:00,264.0,257.39
2025-01-20 15:00:00,261.0,254.06
2025-01-20 16:00:00,263.0,256.48
2025-01-20 17:00:00,249.9,243.85
2025-01-20 18:00:00,255.8,249.27
2025-01-20 19:00:00,252.8,246.26
2025-01-20 20:00:00,251.6,245.35
2025-01-20 21:00:00,252.7,246.3
2025-01-20 22:00:00,256.2,250.1
2025-01-20 23:00:00,248.4,242.19
2025-01-21 00:00:00,241.2,235.32
2025-01-21 01:00:00,240.6,234.34
2025-01-21 02:00:00,246.5,240.06
2025-01-21 03:00:00,244.1,237.86
2025-01-21 04:00:00,245.1,238.55
2025-01-21 05:00:00,238.4,232.46
2025-01-21 06:00:00,243.1,237.08
2025-01-21 07:00:00,243.6,236.84
2025-01-21 08:00:00,246.2,239.38
2025-01-21 09:00:00,245.2,238.51
2025-01-21 10:00:00,246.0,239.54
2025-01-21 11:00:00,246.2,239.44
2025-01-21 12:00:00,247.4,240.94
2025-01-21 13:00:00,248.2,241.34
2025-01-21 14:00:00,245.7,239.15
2025-01-21 15:00:00,247.7,240.92
2025-01-21 16:00:00,250.6,243.82
2025-01-21 17:00:00,255.9,249.12
2025-01-21 18:00:00,266.5,259.43
2025-01-21 19:00:00,260.1,253.41
2025-01-21 20:00:00,260.4,253.37
2025-01-21 21:00:00,260.7,253.76
2025-01-21 22:00:00,256.3,249.38
2025-01-21 23:00:00,257.3,250.33
2025-01-22 00:00:00,259.6,252.71
2025-01-22 01:00:00,258.9,252.12
2025-01-22 02:00:00,259.0,252.25
2025-01-22 03:00:00,261.2,254.11
2025-01-22 04:00:00,262.7,255.62
2025-01-22 05:00:00,262.7,256.04
2025-01-22 06:00:00,263.7,256.51
2025-01-22 07:00:00,265.6,258.51
2025-01-22 08:00:00,262.1,255.28
2025-01-22 09:00:00,260.6,253.75
2025-01-22 10:00:00,261.9,254.94
2025-01-22 11:00:00,264.7,257.76
