timestamp,BNSOL/USDT_2025_15T,SOL/USDT_2025_15T
2025-01-04 21:00:00,221.0,216.08
2025-01-04 21:15:00,221.5,216.26
2025-01-04 21:30:00,221.2,216.12
2025-01-04 21:45:00,220.9,216.06
2025-01-04 22:00:00,220.8,215.84
2025-01-04 22:15:00,221.2,216.28
2025-01-04 22:30:00,221.5,216.28
2025-01-04 22:45:00,222.0,217.2
2025-01-04 23:00:00,222.1,217.04
2025-01-04 23:15:00,221.8,216.76
2025-01-04 23:30:00,221.6,216.67
2025-01-04 23:45:00,221.6,216.67
2025-01-05 00:00:00,222.1,217.01
2025-01-05 00:15:00,222.1,217.05
2025-01-05 00:30:00,222.3,217.27
2025-01-05 00:45:00,222.1,217.04
2025-01-05 01:00:00,222.1,216.76
2025-01-05 01:15:00,221.8,216.6
2025-01-05 01:30:00,221.0,215.9
2025-01-05 01:45:00,220.7,215.71
2025-01-05 02:00:00,221.3,216.16
2025-01-05 02:15:00,221.2,215.95
2025-01-05 02:30:00,222.3,217.13
2025-01-05 02:45:00,222.1,217.08
2025-01-05 03:00:00,222.1,217.0
2025-01-05 03:15:00,222.5,217.54
2025-01-05 03:30:00,223.3,218.1
2025-01-05 03:45:00,223.0,217.96
2025-01-05 04:00:00,223.6,218.17
2025-01-05 04:15:00,224.0,218.7
2025-01-05 04:30:00,223.6,218.39
2025-01-05 04:45:00,223.2,218.01
2025-01-05 05:00:00,222.8,217.61
2025-01-05 05:15:00,222.5,217.06
2025-01-05 05:30:00,221.9,216.74
2025-01-05 05:45:00,221.8,216.4
2025-01-05 06:00:00,221.6,216.41
2025-01-05 06:15:00,221.8,216.68
2025-01-05 06:30:00,221.9,216.79
2025-01-05 06:45:00,221.7,216.63
2025-01-05 07:00:00,221.3,216.27
2025-01-05 07:15:00,221.6,216.59
2025-01-05 07:30:00,221.7,216.72
2025-01-05 07:45:00,221.4,216.47
2025-01-05 08:00:00,220.4,215.28
2025-01-05 08:15:00,220.3,215.27
2025-01-05 08:30:00,220.2,215.36
2025-01-05 08:45:00,220.2,215.17
2025-01-05 09:00:00,220.0,214.93
2025-01-05 09:15:00,219.5,214.38
2025-01-05 09:30:00,219.3,214.36
2025-01-05 09:45:00,218.2,213.19
2025-01-05 10:00:00,218.4,213.6
2025-01-05 10:15:00,218.2,213.47
2025-01-05 10:30:00,218.7,213.79
2025-01-05 10:45:00,219.0,214.08
2025-01-05 11:00:00,219.3,214.4
2025-01-05 11:15:00,219.2,214.17
2025-01-05 11:30:00,219.2,214.21
2025-01-05 11:45:00,218.8,213.93
2025-01-05 12:00:00,218.3,213.46
2025-01-05 12:15:00,218.4,213.67
2025-01-05 12:30:00,218.6,213.73
2025-01-05 12:45:00,218.5,213.61
2025-01-05 13:00:00,218.5,213.67
2025-01-05 13:15:00,219.3,214.48
2025-01-05 13:30:00,218.6,213.7
2025-01-05 13:45:00,217.4,212.59
2025-01-05 14:00:00,217.4,212.5
2025-01-05 14:15:00,217.2,212.16
2025-01-05 14:30:00,217.3,212.7
2025-01-05 14:45:00,217.9,213.29
2025-01-05 15:00:00,217.7,212.95
2025-01-05 15:15:00,217.7,213.04
2025-01-05 15:30:00,218.1,213.66
2025-01-05 15:45:00,218.6,213.59
2025-01-05 16:00:00,218.5,213.72
2025-01-05 16:15:00,217.7,212.91
2025-01-05 16:30:00,217.4,212.37
2025-01-05 16:45:00,217.4,212.47
2025-01-05 17:00:00,218.0,212.97
2025-01-05 17:15:00,218.1,213.02
2025-01-05 17:30:00,217.9,212.78
2025-01-05 17:45:00,217.4,212.65
2025-01-05 18:00:00,217.0,211.96
2025-01-05 18:15:00,217.1,212.1
2025-01-05 18:30:00,217.7,212.48
2025-01-05 18:45:00,217.5,212.47
2025-01-05 19:00:00,218.1,213.06
2025-01-05 19:15:00,218.2,213.02
2025-01-05 19:30:00,218.0,212.89
2025-01-05 19:45:00,217.9,212.79
2025-01-05 20:00:00,218.2,213.15
2025-01-05 20:15:00,218.7,213.5
2025-01-05 20:30:00,218.3,213.08
2025-01-05 20:45:00,218.1,213.01
2025-01-05 21:00:00,218.3,213.18
2025-01-05 21:15:00,218.4,213.27
2025-01-05 21:30:00,218.4,213.5
2025-01-05 21:45:00,219.0,213.85
2025-01-05 22:00:00,218.7,213.85
2025-01-05 22:15:00,219.3,214.15
2025-01-05 22:30:00,219.3,214.29
2025-01-05 22:45:00,219.3,214.22
2025-01-05 23:00:00,219.2,214.26
2025-01-05 23:15:00,218.8,213.7
2025-01-05 23:30:00,218.7,213.66
2025-01-05 23:45:00,218.6,213.41
2025-01-06 00:00:00,218.4,213.37
2025-01-06 00:15:00,218.5,213.36
2025-01-06 00:30:00,217.8,212.89
2025-01-06 00:45:00,217.2,212.16
2025-01-06 01:00:00,216.9,211.65
2025-01-06 01:15:00,217.0,212.03
2025-01-06 01:30:00,218.2,213.2
2025-01-06 01:45:00,219.7,214.67
2025-01-06 02:00:00,220.9,215.8
2025-01-06 02:15:00,220.3,215.21
2025-01-06 02:30:00,221.1,216.06
2025-01-06 02:45:00,220.7,215.6
2025-01-06 03:00:00,221.2,216.16
2025-01-06 03:15:00,221.2,216.19
2025-01-06 03:30:00,221.5,216.08
2025-01-06 03:45:00,220.7,215.61
2025-01-06 04:00:00,221.4,216.37
2025-01-06 04:15:00,221.4,216.07
2025-01-06 04:30:00,220.6,215.54
2025-01-06 04:45:00,221.2,215.85
2025-01-06 05:00:00,220.5,215.37
2025-01-06 05:15:00,221.1,216.28
2025-01-06 05:30:00,221.0,216.0
2025-01-06 05:45:00,220.7,215.57
2025-01-06 06:00:00,219.6,214.38
2025-01-06 06:15:00,220.1,214.62
2025-01-06 06:30:00,220.4,215.15
2025-01-06 06:45:00,220.2,214.94
2025-01-06 07:00:00,220.1,214.8
2025-01-06 07:15:00,219.9,214.65
2025-01-06 07:30:00,220.0,215.15
2025-01-06 07:45:00,220.4,215.22
2025-01-06 08:00:00,221.1,215.93
2025-01-06 08:15:00,220.2,215.01
2025-01-06 08:30:00,219.0,213.91
2025-01-06 08:45:00,219.2,214.02
2025-01-06 09:00:00,219.4,214.36
2025-01-06 09:15:00,218.7,213.58
2025-01-06 09:30:00,218.7,213.6
2025-01-06 09:45:00,219.6,214.4
2025-01-06 10:00:00,219.3,214.41
2025-01-06 10:15:00,219.8,214.8
2025-01-06 10:30:00,220.0,214.81
2025-01-06 10:45:00,220.0,215.03
2025-01-06 11:00:00,220.5,215.45
2025-01-06 11:15:00,221.1,215.69
2025-01-06 11:30:00,220.8,215.85
2025-01-06 11:45:00,221.4,216.26
2025-01-06 12:00:00,221.5,216.38
2025-01-06 12:15:00,221.9,216.98
2025-01-06 12:30:00,222.4,217.51
2025-01-06 12:45:00,221.9,216.82
2025-01-06 13:00:00,221.7,216.61
2025-01-06 13:15:00,222.6,217.59
2025-01-06 13:30:00,223.0,217.91
2025-01-06 13:45:00,223.8,218.7
2025-01-06 14:00:00,223.8,218.71
2025-01-06 14:15:00,222.6,217.56
2025-01-06 14:30:00,223.7,218.08
2025-01-06 14:45:00,226.0,221.05
2025-01-06 15:00:00,227.0,221.86
2025-01-06 15:15:00,226.6,221.52
2025-01-06 15:30:00,225.9,220.55
2025-01-06 15:45:00,226.7,221.62
2025-01-06 16:00:00,228.0,222.75
2025-01-06 16:15:00,227.2,222.07
2025-01-06 16:30:00,227.1,221.83
2025-01-06 16:45:00,225.9,220.85
2025-01-06 17:00:00,225.0,219.82
2025-01-06 17:15:00,224.0,218.93
2025-01-06 17:30:00,223.1,217.91
2025-01-06 17:45:00,223.9,218.72
2025-01-06 18:00:00,223.9,218.51
2025-01-06 18:15:00,224.4,219.19
2025-01-06 18:30:00,224.4,219.22
2025-01-06 18:45:00,224.1,218.84
2025-01-06 19:00:00,224.3,219.17
2025-01-06 19:15:00,225.2,219.86
2025-01-06 19:30:00,225.4,220.19
2025-01-06 19:45:00,225.3,220.0
2025-01-06 20:00:00,225.6,220.35
2025-01-06 20:15:00,225.3,220.06
2025-01-06 20:30:00,224.0,218.6
2025-01-06 20:45:00,223.7,218.54
2025-01-06 21:00:00,223.6,218.33
2025-01-06 21:15:00,223.1,217.87
2025-01-06 21:30:00,223.1,217.85
2025-01-06 21:45:00,223.0,217.85
2025-01-06 22:00:00,223.4,218.19
2025-01-06 22:15:00,223.0,217.98
2025-01-06 22:30:00,223.4,218.13
2025-01-06 22:45:00,223.9,218.54
2025-01-06 23:00:00,223.5,218.31
2025-01-06 23:15:00,223.2,218.08
2025-01-06 23:30:00,223.4,218.36
2025-01-06 23:45:00,223.6,218.22
2025-01-07 00:00:00,222.8,217.83
2025-01-07 00:15:00,223.7,218.95
2025-01-07 00:30:00,223.2,218.2
2025-01-07 00:45:00,222.8,217.78
2025-01-07 01:00:00,222.2,217.05
2025-01-07 01:15:00,222.9,217.78
2025-01-07 01:30:00,223.3,218.48
2025-01-07 01:45:00,223.2,218.11
2025-01-07 02:00:00,222.9,217.51
2025-01-07 02:15:00,222.3,217.07
2025-01-07 02:30:00,222.4,217.24
2025-01-07 02:45:00,221.8,216.59
2025-01-07 03:00:00,222.1,216.87
2025-01-07 03:15:00,222.3,217.05
2025-01-07 03:30:00,222.6,217.27
2025-01-07 03:45:00,222.7,217.34
2025-01-07 04:00:00,222.1,216.89
2025-01-07 04:15:00,221.9,216.68
2025-01-07 04:30:00,221.8,216.61
