timestamp,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,BCH/USDT
2024-11-21,98317.12,3355.81,1.247,89.51,484.4
2024-11-22,98892.0,3327.78,1.4726,92.2,490.5
2024-11-23,97672.4,3393.91,1.4685,99.5,510.1
2024-11-24,97900.04,3361.2,1.4331,96.92,515.2
2024-11-25,93010.01,3414.49,1.4142,92.26,491.9
2024-11-26,91965.16,3324.73,1.3984,92.82,492.2
2024-11-27,95863.11,3653.28,1.4696,97.23,517.4
2024-11-28,95643.98,3578.79,1.5421,95.54,511.1
2024-11-29,97460.0,3592.21,1.8006,104.77,518.3
2024-11-30,96407.99,3703.6,1.9513,102.74,525.9
2024-12-01,97185.18,3707.61,2.2937,119.55,532.0
2024-12-02,95840.62,3643.42,2.7245,132.93,538.3
2024-12-03,95849.69,3614.51,2.5102,130.89,585.6
2024-12-04,98587.32,3837.8,2.3574,133.69,583.7
2024-12-05,96945.63,3785.2,2.2446,135.78,588.6
2024-12-06,99740.84,3998.87,2.4257,135.93,618.6
2024-12-07,99831.99,3996.22,2.6099,133.79,607.6
2024-12-08,101109.59,4004.15,2.6013,134.91,622.3
2024-12-09,97276.47,3712.0,2.2124,110.44,551.5
2024-12-10,96593.0,3628.25,2.3709,109.8,516.2
2024-12-11,101125.0,3831.81,2.3941,117.3,546.6
2024-12-12,100004.29,3881.61,2.3384,119.24,540.1
2024-12-13,101424.25,3906.8,2.4217,124.52,542.5
2024-12-14,101420.0,3870.29,2.4005,118.21,534.0
2024-12-15,104463.99,3959.09,2.4469,121.11,546.2
2024-12-16,106058.66,3986.24,2.4841,117.99,538.1
2024-12-17,106133.74,3893.01,2.5673,125.63,529.9
2024-12-18,100204.01,3626.8,2.3103,108.35,480.4
2024-12-19,97461.86,3417.01,2.239,99.36,438.7
2024-12-20,97805.44,3472.21,2.2793,101.38,449.2
2024-12-21,97291.99,3338.92,2.238,101.56,456.1
2024-12-22,95186.27,3281.83,2.2031,99.78,445.8
2024-12-23,94881.47,3422.53,2.2617,106.77,460.9
2024-12-24,98663.58,3493.18,2.3238,108.35,470.3
2024-12-25,99429.6,3497.0,2.2973,109.82,465.4
2024-12-26,95791.6,3335.05,2.1559,102.23,437.3
2024-12-27,94299.03,3333.51,2.1466,100.58,441.3
2024-12-28,95300.0,3404.0,2.1843,100.74,451.6
2024-12-29,93738.2,3356.48,2.0942,98.51,439.1
2024-12-30,92792.05,3361.84,2.0587,99.4,444.0
2024-12-31,93576.0,3337.78,2.0836,103.28,434.5
2025-01-01,94591.79,3360.38,2.3328,105.24,450.5
2025-01-02,96984.79,3455.67,2.4024,105.14,461.7
2025-01-03,98174.18,3609.01,2.4547,112.71,473.9
2025-01-04,98220.5,3656.88,2.4201,111.21,478.9
2025-01-05,98363.61,3635.99,2.3994,115.72,470.9
2025-01-06,102235.6,3687.45,2.42,114.01,483.0
2025-01-07,96954.61,3381.31,2.2712,102.72,436.9
2025-01-08,95060.61,3327.29,2.3731,101.43,434.4
2025-01-09,92552.49,3219.2,2.2722,102.23,421.9
2025-01-10,94726.11,3267.04,2.3414,103.96,450.1
2025-01-11,94599.99,3282.83,2.5764,104.39,441.0
2025-01-12,94545.06,3267.3,2.5046,102.34,447.9
2025-01-13,94536.1,3137.51,2.5232,98.37,428.0
2025-01-14,96560.86,3225.63,2.6673,102.45,437.9
2025-01-15,100497.35,3451.52,3.1429,116.96,460.3
2025-01-16,99987.3,3308.05,3.2451,124.41,461.7
2025-01-17,104077.48,3473.63,3.2922,137.04,489.4
2025-01-18,104556.23,3307.71,3.2697,125.4,466.4
2025-01-19,101331.57,3215.12,2.9587,115.57,427.7
2025-01-20,102260.01,3284.0,3.1053,118.58,430.9
2025-01-21,106143.82,3327.54,3.1738,119.11,446.5
2025-01-22,103706.66,3242.6,3.1803,115.38,435.4
2025-01-23,103910.34,3338.21,3.1194,116.42,437.3
2025-01-24,104870.5,3310.09,3.1009,118.71,432.0
2025-01-25,104746.85,3318.77,3.108,123.92,445.4
2025-01-26,102620.0,3232.61,3.0223,117.11,425.2
2025-01-27,102082.83,3182.44,3.0552,115.06,427.6
2025-01-28,101335.52,3077.72,3.0572,109.92,410.5
2025-01-29,103733.24,3113.9,3.0683,115.9,415.0
2025-01-30,104722.94,3247.39,3.1276,130.15,434.7
2025-01-31,102429.56,3300.99,3.0361,128.09,424.2
2025-02-01,100635.65,3117.54,2.8778,118.04,404.0
2025-02-02,97700.59,2869.68,2.58,109.12,360.4
2025-02-03,101328.52,2879.9,2.7001,106.91,353.2
2025-02-04,97763.13,2731.19,2.5274,101.07,329.7
2025-02-05,96612.43,2788.25,2.381,103.38,328.0
2025-02-06,96554.35,2686.64,2.325,101.66,316.2
2025-02-07,96506.8,2622.1,2.3968,103.11,318.6
2025-02-08,96444.74,2632.46,2.419,104.69,323.1
2025-02-09,96462.75,2627.18,2.3928,107.2,324.5
2025-02-10,97430.82,2661.19,2.4237,120.21,329.3
2025-02-11,95778.2,2602.59,2.4131,119.27,331.4
2025-02-12,97869.99,2738.27,2.4734,122.04,343.1
2025-02-13,96608.14,2675.87,2.5599,126.61,335.0
2025-02-14,97500.48,2725.95,2.7384,124.91,341.5
2025-02-15,97569.66,2693.04,2.7619,133.86,332.9
2025-02-16,96118.12,2661.41,2.7283,125.71,326.3
2025-02-17,95780.0,2744.05,2.6599,122.31,323.8
2025-02-18,95671.74,2671.99,2.5628,129.75,316.3
2025-02-19,96644.37,2715.5,2.7378,134.88,322.8
2025-02-20,98305.0,2738.04,2.6877,130.82,325.9
2025-02-21,98441.14,2797.63,2.663,135.0,330.9
