Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume
2025-02-16 14:00:00,96842.37000000,97029.90000000,96645.35000000,96969.58000000,530.02677000,2025-02-16 14:59:59.999,51317240.87170030,115501,222.38811000,21535695.83374070
2025-02-16 15:00:00,96969.58000000,97092.35000000,96911.00000000,96911.01000000,305.78814000,2025-02-16 15:59:59.999,29661831.78894160,61437,129.95844000,12605906.35091780
2025-02-16 16:00:00,96911.01000000,97115.00000000,96880.00000000,97052.64000000,239.19143000,2025-02-16 16:59:59.999,23201181.21953910,57517,106.67875000,10347050.23678170
2025-02-16 17:00:00,97052.64000000,97169.15000000,96931.06000000,96982.95000000,229.87909000,2025-02-16 17:59:59.999,22309722.66044280,56898,125.50557000,12179643.81149770
2025-02-16 18:00:00,96982.94000000,97000.00000000,96609.05000000,96872.59000000,410.32977000,2025-02-16 18:59:59.999,39737465.76163610,119591,229.28400000,22206597.92659630
2025-02-16 19:00:00,96872.58000000,97108.18000000,96763.11000000,97058.47000000,308.17023000,2025-02-16 19:59:59.999,29887184.44934900,81769,215.62726000,20913091.49144190
2025-02-16 20:00:00,97058.47000000,97160.74000000,96861.38000000,96909.54000000,304.09755000,2025-02-16 20:59:59.999,29507867.93060020,61335,136.37432000,13232692.95255200
2025-02-16 21:00:00,96909.55000000,97282.38000000,96852.01000000,97165.09000000,315.91771000,2025-02-16 21:59:59.999,30652665.36041620,81227,190.03353000,18441421.79113470
2025-02-16 22:00:00,97165.10000000,97187.18000000,96570.47000000,96865.79000000,334.51883000,2025-02-16 22:59:59.999,32396408.73603650,79837,145.94769000,14135593.18927050
2025-02-16 23:00:00,96865.79000000,96884.89000000,96046.18000000,96118.12000000,1297.46442000,2025-02-16 23:59:59.999,124927508.04875860,188399,607.03228000,58436926.07075180
2025-02-17 00:00:00,96118.12000000,96443.50000000,96023.17000000,96319.22000000,559.72483000,2025-02-17 00:59:59.999,53885155.01125620,135946,308.63094000,29717393.43342750
2025-02-17 01:00:00,96319.22000000,96533.52000000,96060.50000000,96508.63000000,408.53426000,2025-02-17 01:59:59.999,39349829.70084860,102102,224.49760000,21627401.93021310
2025-02-17 02:00:00,96508.63000000,96638.05000000,96156.55000000,96228.98000000,411.70054000,2025-02-17 02:59:59.999,39686742.13405200,75560,244.94032000,23612085.31606950
2025-02-17 03:00:00,96228.97000000,96280.00000000,96032.99000000,96215.33000000,486.61263000,2025-02-17 03:59:59.999,46795051.90262150,52496,272.95249000,26248893.87356190
2025-02-17 04:00:00,96215.32000000,96259.84000000,96013.00000000,96026.01000000,488.42242000,2025-02-17 04:59:59.999,46937308.64738110,55143,204.13297000,19620321.64346810
2025-02-17 05:00:00,96026.01000000,96328.14000000,95800.00000000,96242.66000000,913.03802000,2025-02-17 05:59:59.999,87729691.00414660,139989,417.84947000,40155644.55260540
2025-02-17 06:00:00,96242.67000000,96445.45000000,96208.00000000,96376.77000000,512.87016000,2025-02-17 06:59:59.999,49414098.65251530,72429,218.57780000,21058221.97679170
2025-02-17 07:00:00,96376.78000000,96463.20000000,95900.94000000,96068.22000000,811.65071000,2025-02-17 07:59:59.999,77996688.82034150,91902,306.11450000,29409862.45146470
